"id","dtCreated","name","shortName","description","shortDescription"
76,2015-01-01,"Control of nocturnal departure times","Helgoland","Most nocturnal songbird migrants travel without social guidance between the breeding and wintering areas. To arrive at the correct place and time, their innate migration program defines the spatiotemporal organisation of migration and their reactions to the environment. When birds are kept in cages during migration, they show nocturnal activity, “migratory restlessness”. The temporal pattern and intensity of migratory restlessness is endogenously controlled. However, changes in photoperiod, temperature, and body condition modulate the seasonal pattern. These factors also influence the departure probability of a migrant at a stopover site. Although the circannual and circadian rhythms in migrants and their realised migration behaviour are well studied, we have little information (i) about the start of nocturnal migratory restlessness and the onset of nocturnal migration, (ii) whether both traits are temporally related, (iii) whether they are strongly endogenous controlled, and (iv) which exogenous factors influence the timing of both traits.
The onset of nocturnal migration defines the potential flight range per night. The seasonal sum of all potential flight ranges per night influences total speed of migration which in turn affects the timing of migration. For our understanding of migration it is essential investigating which endogenous and exogenous factors influence the onset of nocturnal migration.
	By combining cage experiments to determine the start of nocturnal migratory restlessness and radio telemetry to identify the onset of nocturnal migration for the same individual we will (i) describe the temporal pattern of both traits, (ii) whether both traits correlate temporally with each other and identify how (iii) endogenous and (iv) exogenous factors influence the timing of both traits within the night. To this end, Northern Wheatears (Oenanthe oenanthe) will be caught on Helgoland a small island in the North Sea. On migration the nominate form breeding in Scandinavian and the leucorhoa subspecies breeding on Island, Greenland, and in Canada pass regularly Helgoland. As they all winter in sub-Sahelian Africa, populations have depending on their breeding areas different remaining migration distances from Helgoland in spring but not in autumn. This framework allows testing differences in both traits in respect of total migration distance [endogenous factor], remaining migration distance, temperature, body condition and weather [all exogenous factors].
","To understand how the onset of nocturnal departure times is controlled in long-distance songbird migrants"
77,2015-01-01,"NJ Chick Survival","Stantial","We will be attaching nano-tags to piping plover adults and chicks in southern New Jersey from Barnegat Lighthouse State Park to Cape May Point State Park.  We will monitor movements of adults and chicks, examine differences in activity patterns of males and females, and attempt to determine sources of mortality using radio-telemetry.","This project will examine factors limiting reproductive success in New Jersey."
78,2015-01-01,"Atlantic Canada Shorebirds","AtlCanShorebirds","Diana Hamilton - Mount Allison University
Julie Paquet - Environment Canada
","Assessing movement, habitat use and length of stay of migrating shorebirds during stop-over in Atlantic Canada. "
79,2013-01-01,"Kent State - Ohio Bats ","UABatMig","","Using telemetry to characterize the timing and duration of spring migration of long distance migrant bats in the western basin of Lake Erie."
80,2015-01-01,"Shoener Illinois Bats","Shoener","Project is studying the migration and habitat selection of a federally-listed bat species from summer foraging habitat to winter hibernacula in central IL. ","Fall migration of federally-listed bat species"
81,2016-01-01,"British Columbia - Lower mainland Barn Swallows","BC-BARS","To be completed by PI","Habitat use and mortality of fledgling Barn Swallows in the lower mainland"
82,2015-01-01,"Maine - American Woodcock","RBrownAMWO","American Woodcock
Looking at woodcock migration along the Atlantic coast","American Woodcock"
83,2015-01-01,"BIMYWA","BIMYWA","Tracking Blackpoll Warblers, Myrtle Warblers, Hermit Thrushes, and Red-eyed Vireos on captured during fall migration on Block Island, Rhode Island ","Digitally-coded tags on southward migrating passerines (BLPW, MYWA, HETH, REVI) captured during fall on Block Island, Rhode Island"
84,2015-01-01,"University of Connecticut - Saltmarsh Sparrow ","Soares","Overall goal is to track migration of saltmarsh sparrows; project is a collaboration between USFWS and the Universities of Connecticut and New Hampshire.  Tags are being deployed by several different groups.  Towers in CT are being maintained by my lab.","University of Connecticut - Saltmarsh Sparrow
Chris Elphick
Michael Soares"
85,2016-01-01,"Canadian Snow Bunting Network","McKinnonSNBU","Oliver Love
Emily McKinnon
Marie-Pier Laplante
Christopher Harris
Christie Macdonald
","Tracking the over-wintering and migratory movements of Snow Buntings in eastern North America."
86,2014-01-01,"Taylor - Blackpoll Warbler","TaylorBLPW","Regional-scale dispersal: This study examines the scale and motivations underlying movement of adult and juvenile songbirds during post-fledging dispersal (between termination of breeding and onset of migration). We found that movements span over 500 km from the breeding area, differing strikingly by age. Adults moved south, reducing the distance they must travel during migration. Juveniles, however, moved randomly, exploring widely across the landscape.  Our results contrast markedly with most previous work, which has been executed within a small proximity to breeding grounds and suggest movements are motivated by habitat requirements. Brown and Taylor (2015). Adult and hatch-year blackpoll warblers exhibit radically different regional-scale movements during post-fledging dispersal. Biology Letters 11: 20150593

Regional-scale Migration: This study will examine the movement decisions made by migratory Blackpolls captured during stopover. We are interested in the effects that learning and experience have on movement during this time, as well as comparing movements between post-fledging dispersal and migration.

Fine-scale stopover movements: Using a highly concentrated array of motus towers we will examine fine-scale stopover decisions of Blackpolls in relation to habitat and food availability, as well as energetic condition.
","Regional-scale and fine-scale movement decisions of post-breeding and migratory Blackpoll Warblers tagged on Nova Scotia's South Shore"
87,2015-01-01,"Taylor - MYWA","TaylorMYWA","","Examining the scope and scale of post-breeding movements of two related species with alternate life-history strategies nesting on islands in NS. "
88,2015-01-01,"Monomoy - Steph Koch","MA_REKN","Monomoy NWR and nearby beaches on Cape Cod support large concentrations of southward migrating Red Knots (Federally-listed) on the Atlantic seaboard. This region is significant because it hosts northern-wintering (NW) and southern-wintering (SW) adults (which have different stopover ecology and likely survivorship), and juveniles. Deploying nanotags (and geolocators as part of another ongoing project) will help us learn more about how NW, SW, and junvenile birds are using stopover and wintering areas, and their migration pathways.  This project will help inform management and ensure we are strategic in protecting Red Knot habitats in the right places at the right times. It will also be instrumental in our continued efforts to engage partners (Town, State, Federal, NGO) to use a collaborative approach to protecting all habitats to benefit NW, SW, and juvenile birds.  This project builds on previous work and is a collaborative effort between USFWS, BOEM, Conserve Wildlife Foundation of New Jersey, and others.","Nanotags are being placed on Red Knots on Cape Cod, MA, with the goal of learning more about important stopover sites and migration pathways."
89,2015-01-01,"Taylor - Terns","TaylorTerns","","Breeding ground movements of Arctic and Common Terns in Nova Scotia"
90,2016-01-01,"Gerson - Apalachicola Florida","Gerson","",""
91,2015-01-01,"SCraik - NSWO","CraikNSWO","Banding data suggest that large numbers of Northern Saw-whet Owls (Aegolius acadicus) migrate through southwest Nova Scotia during fall; at least some of these owls may winter in the region. Despite this, we know next-to-nothing about staging and wintering habitat use by this owl in the Maritimes. In addition, it is generally unknown how saw-whets deal with the Gulf of Maine ?barrier? separating the Maritimes with potential wintering habitat in the eastern United States.

The objectives of the study are:

1) To examine habitat use of staging and wintering Northern Saw-whet Owls radiomarked during fall migration in Nova Scotia

2) To examine fall and spring migration chronology and routes for different sex and age classes of radiomarked saw-whet owls

","Migration and habitat use by Northern Saw-whet Owls"
92,2016-01-01,"Ontario Barn and Cliff Swallows","GuelphBARS","To be completed in by PI's","To be completed by PI's"
93,2016-01-01,"Pitman - Green Darner","PitmanGRDA","",""
94,2016-01-01,"Cliff Lemen 2015","Lemen","",""
95,2016-01-01,"BellVagrantsNS","BellVagrant","","Studying reorientation of vagrant passerines and near-passerines in Nova Scotia, CA"
96,2016-01-01,"Lefevre - Florida Gulf Coast University","Lefevre FGCU","Initial aims of the project are tracking regional movements of seabirds on the Gulf Coast, and helping to fill the gap of coverage in the southeast USA.","Expanding the Motus network to southern Florida"
97,2016-01-01,"BSC tags for later distribution","BSC","","This is project is a tag bank, to hold registrations for tags acquired by BSC and others, but intended for later distribution to other projects."
98,2016-01-01,"Zvenigorod","Zvenigorod","",""
99,2015-01-01,"Taylor - Green Darner","TaylorGreenDarner","","Examining Green Darner stop over and migratory movements in SW Nova Scotia."
100,2016-01-01,"Stutchbury - Ontario Savannah Sparrow","Stutchbury","To be completed by PI","Dispersal and onset of fall migration of juvenile and adult Savannah Sparrow in Southern Ontario. "
101,2016-01-01,"Sandiland 2016: Ontario Myotis","Sandilands","Tracking of Little Brown Myotis from the Sandilands Roost, south of Cambridge, Ontario to find alternate roosts, landscape use and potentially track migration or hibernation locations.","Tracking of Little Brown Myotis at a roost south of Cambridge Ontario"
102,2016-01-01,"SentinelTag","SentinelTag","Tags registered with this project are for use as sentinels, i.e. they are
deployed at a site to verify or calibrate operation of the receivers, rather
than to track an organism.

TODO:  tags in this project will only be sought in data from receivers ""close"" to the tag's deployment location.","A pilot study led by Simon Bonner (Western University) to determine how to use tags as sentinels."
103,2016-05-26,"NYC Audubon","NYCA-SESA","This project is part of a larger effort to understand the importance of Jamaica Bay, NY to migrating shorebirds. More needs to be understood about how shorebirds use various habitats within the bay, and how Jamaica Bay fits in as a stopover site in their global migratory pathway. In this study, we will use field-readable color flags on Semipalmated Sandpipers as well as fit several individuals with VHF NanoTags in our first year in order to learn more about their local movements as well as movements to and from their breeding grounds. ","NYC Audubon will be using VHF NanoTags in order to track movements of Semipalmated Sandpipers stopping over in Jamaica Bay, NY during their migration."
104,2016-05-31,"Perlut - Maine Forest Birds","Perlut","Our banding station will deploy nanotags on migrant songbirds stopping at the University of New England's 363 acre coastal forest in Biddeford, ME.  This oak-pine forest dates to the late-1940s (it burned in 1947).  The banding station operates two mornings per week from 630-930am, running from early-Sept through mid-Oct.  Our goal is to collect preliminary data on the timing and distance of movement by migrants that stop in this parcel.  ","Banding station deploying nanotags on migrant songbirds in a coastal forest in southern Maine (Biddeford).  "
105,2016-06-02,"EC - Phalaropes","Ronconi","",""
106,2016-06-13,"Gros Morne National Park","GrosMorne","To be completed by PI","We are operating Motus Tower(s) in Gros Morne and possibly other sites in western Newfoundland to support the Motus network"
107,2016-06-23,"Acadia National Park","AcadiaNP","","Operation and maintenance of 3 Motus stations in and around Acadia National Park."
108,2016-07-07,"SFU - Paracas Shorebirds","SFU_Paracas","To be completed by PI's","To be completed by PI's"
109,2016-08-02,"Taylor - SWTH","Taylor-SWTH","This project will focus on the post-breed dispersal period of Swainson's Thrushes in the Gulf of Maine region. Local birds from two islands (Bon Portage and Seal Island) will be fitted with radio tags using the figure-eight leg loop harness method. The Motus Atlantic Array provides thorough coverage of Atlantic Canada's coastline, while many other projects provide coverage along the US Eastern Seaboard and the Connecticut River Valley. Previous research on Blackpoll Warblers revealed large-scale, non-migratory movements during the post-breeding period (See Cormier 2017 and Brown 2016). This study is an expansion of previous research, looking at a familiar and more robust species that is also a Neotropical migrant. Due to their larger size, longer-lasting tags may be fitted to these birds, allowing for data to be collected for up to a year","Post-breeding dispersal of Swainson’s Thrush on Bon Portage and Seal Island in Nova Scotia. Research conducted by Lucas Berrigan and Phil Taylor."
110,2016-08-05,"Holberton 2015-16","Holbt15_16","",""
111,2016-08-23,"LPBO-Moult Migrants","LPBO-MltMig","Study on the stopover times and migration of moult-migrant Swainson's Thrush and Tennessee Warblers at Long Point, O and Montreal, QC.

Stuart Mackenzie - Long Point Bird Observatory
Simon Duval and Marcel Gahbauer - Migration Research Foundation and McGill Bird Observatory","Study on the stopover times and migration of moult-migrant Swainson's Thrush and Tennessee Warblers at Long Point, O and Montreal, QC."
112,2016-08-23,"BSC-Common Nighthawks","BSC-CONI","Study of Common Nighthawk igration from Thunder Cape Bird Observatory (Thunder Bay, ON) to Hawk Ridge Bird Observatory (Duluth, MN) and beyond...

Stuart Mackenzie - Bird Studies Canada
Dr. Mark Brigham - University of Regina
Dr. Liam McGuire - Texas Tech University
Mark Etterson - Hawk Ridge Bird Observatory/EPA
Steven Kolbe - University of Minnesota
Dr. Gerald Neimi - University of Minnesota","Study of Common Nighthawk igration from Thunder Cape Bird Observatory (Thunder Bay, ON) to Hawk Ridge Bird Observatory (Duluth, MN) and beyond..."
113,2016-09-01,"Wageningen University & Research","WUR","","Bat and bird migration and habitat use in relation to wind energy"
114,2016-09-07,"Europe - Bats","PNAT","Populations of Nathusius’ pipistrelle (Pipistrellus nathusii), an insectivorous aerial-hawking bat that breeds in north-eastern Europe, perform long-distance migrations between breeding sites and hibernation areas in western and central Europe. As bats migrate at night time only very limited information is available on the migration behaviour.  

Research questions: 
-	Is the Sensorgnome an appropriate technique to follow bats during migration?
-	Where are migration flyways of Pipistrellus nathusii situated? 
-	What is the migration speed of Pipistrellus nathusii?
-	Does Pipistrellus nathusii cross the Baltic Sea and the North Sea during migration?

Nathusius pipistrelles are tagged in Latvia, Poland and the Netherlands. Approximately 30 Sensorgnome receiver stations will be installed in the coastal region of NW Germany and the Netherlands to follow the bats during migration.

At this stage of the project we collaborate with the following parties and institutes:
-	Latvijas Lauksaimniecibas universitate (Latvia University of Agriculture)
-	Leibniz Institute for Evolution and Biodiversity Science
-	ITC University Twente
-       Gdansk University
-	Institut für Vogelforschung “Vogelwarte Helgoland""
-	Jasja Dekker Dierecologie, Arnhem
-	Bach Freilandforschung, Bremen 
-	Staatsbosbeheer (State Forestry and Nature Conservation in the Netherlands)



","Long distance migration of Nathusius' Pipistrelle (Pipistrellus nathusii) in the Baltic-North Sea Region "
115,2016-09-12,"Long Point Vagrants","VagrantsLP","","Study on the behaviour of vagrants at Long Point Ontario. "
116,2016-09-22,"Migration in Song Sparrows","SOSPMigration","","Monitoring movements of our long-term study population of song sparrows"
117,2016-09-22,"French Guiana Shorebirds","Guiana","Shorebird research in French Guiana - to be completed by PI's","Shorebird research in French Guiana - to be completed by PI's"
118,2016-09-29,"Tadoussac NSWO","TadoussacNSWO","To be updated by PI","We want to monitor the migration pattern(s) of NSWO from Tadoussac, Quebec till the wintering areas of the species in eastern North-America. "
119,2016-10-03,"Missouri - E. Whip-poor-will","BoylesEWPW","To be completed by PIs.","To be completed by PIs."
120,2016-10-12,"Western Gulf Avian Resource Assessment","WGARA","GCBO and USFWS will establish approximately 15 stations along the upper and central Texas coast that will support researchers throughout the Americas and can also be used to investigate life history variables of the large population of Gulf Coast wintering Nearctic migrants, breeding coastal species, and coastal residents that disperse along the western Gulf shores. We will place nano-tag tracking devices on American Oystercatchers to track their use of the coast for continued conservation efforts for this species. Three other research projects have the potential to be immediately enhanced by the installation of this network, These include projects on Yellow Rail, Black Rail, and LeConte’s Sparrow. In addition, this Motus network could support research on other species such as the Diamondback Terrapin and various species of bats which utilize the Texas coast.","Joint project with Gulf Coast Bird Observatory and Texas Mid-Coast NWR Complex to establish 15 antenna arrays along the upper and central Texas coast"
121,2016-10-14,"Maggini - Eastern Austria","Maggini","The aim of this project is to establish a network of receivers to study several aspects of stopover ecology of fall migrants through central Europe. A small network of receivers (5 to 8) will be established in the Neusiedler See area, at the border between Austria and Hungary. This location is an extensive reedbed that hosts a banding station which has been active since the 1970s. It is well known as an important stopover site for marshland species, such as reed warblers.

In a future step, the network should be extended to areas in the Alps. We envision the area around Grünau im Almtal, not far from the city of Salzburg, where a research station of the University of Vienna is located.

With these two study areas we will be able to answer questions about the behaviour of migrants facing the mountains as an ecological barrier on their southbound migration. We will look at effects of adverse weather, phenology, and other factors on the strategies of migration, and will be able to directl< compare sites at the mountain edge with sites in the Eastern plains, where no barrier is present.

Depending on deals with landowners and on the preparation of the receivers, the Neusiedler See network should be established in the fall 2017. Additional receiving towers in Grünau will depend on funding.","Studies on stopover physiology around Lake Neusiedl (Eastern Austria) during fall migration."
122,2016-10-31,"Rushton Woods","RushtonWds","To be entered by PI","To be entered by PI"
123,2016-11-07,"BIRDMOVE - Songbird migration 2017 and spring 2018","BIRDMOVE_2017","","Song bird migration at the German North Sea coast during spring and autumn 2017 and spring 2018."
124,2016-11-14,"NJA - South America Shorebirds","NJA-TU_SESA-SA","To be completed by PI","To be completed by PI"
125,2016-11-29,"Guyra Paraguay","GuyraPARA","Monitoring use of the Asunción Bay by migratory shorebirds as stopover site","SHorebirds in Bahía de Asunción, Paraguay"
126,2016-12-07,"Louisiana Yellow Rail","LA_YERA","To be completed by PIs","To be completed by PIs"
127,2016-12-09,"Knockaert Raptors","KNOCKAERT","To be entered by PI","To be entered by PI"
128,2016-12-28,"Panama Prothonotary Warbler","PANAMA_PROW","Tracking site fidelity and movement of wintering PROW in a variety of habitat qualities. Ohio State University project in collaboration with Prothonotary Warbler Working Group.","Winter Ecology of Prothonotary Warblers"
129,2017-01-11,"University of Oklahoma","U_OK","We are using coded tags to track migratory bird movements. Our work will also focus on expanding the detection capacity of the Motus network within the Central North American Flyway, with emphasis on migratory stopover and wintering aggregations.","Tracking bird movements through the south-central United States"
130,2017-01-12,"Chiloe Hudsonian Godwit","CHILOW_HUGO","To be completed by PI","Stopover ecology of Hudsonian Godwit in Chiloe."
131,2017-01-12,"York University Killdeer","YU_KILLDEER","",""
132,2017-01-17,"Least Tern - Microsite Assessment of Range Ecology","LETE_RANGE_ECO","This project aims to determine general utilizations of space and the overall time effort devoted to foraging and breeding activities for least tern at a designed, near-shore microsite in Southern Louisiana. Wilson's plover may also be tagged and monitored as a part of this project.","This project aims to determine general utilizations of space and the overall time effort devoted to foraging and breeding activities for least tern."
133,2017-02-01,"LINWRC Bird and Bat Tracking","LINWRC","To be entered by PI","To be entered by PI"
134,2017-02-21,"Autumn Migration ofNorthern Myotis in PA","N_MYOTIS_PA","The goal of our project is to describe the phenology of autumn migration in the northern myotis (Myotis septentrionalis) in Pennsylvania. This project aims to benefit the recently listed species by determining the timing of autumn migration, whether individuals depart their summer habitat in groups, the influence of weather conditions on departure decisions, and possibly identifying autumn habitat and movement patterns.","The goal of our project is to describe the nature and timing of autumn migration in the northern myotis (Myotis septentrionalis) in Pennsylvania."
137,2017-03-09,"Abiotic and biotic influences on Snowfinch","Snowfinch","The mechanisms regulating populations are poorly understood and controversial, yet elucidating them is essential for predicting how populations will respond to environmental perturbations such as climate change. The combination of the exogenous (e.g. climate) and endogenous (e.g. dispersal limitation) forces acting upon a population will determine its fate, including the probability that a population goes extinct, and the probability that new populations will be established as a result of colonisations. In this project we will address one of the most pertinent questions in ecology, which relates to the relative roles of abiotic and biotic factors in shaping patterns of species abundance, distribution, and spatio-temporal population dynamics. As all population-level phenomena can be derived from individual-level processes, our starting point for assessing population dynamics is to understand how individual-level processes (e.g. dispersal patterns and group movement dynamics) translate to populaion-level processes,  as well as to understand how individual-level process are modified by the population context. Our biological model is one of the most emblematic passerine species of alpine environments in European mountains, the snowfinch Montifringilla nivalis nivalis. As most organisms inhabiting alpine environments, the snowfinch is potentially threatened by loss of habitat, range contraction and local extinction due to global warming. However, we still know very little about its ecological requirements and essentially nothing about its demography in order to adequately assess its vulnerability. By identifying the mechanisms limiting population locally, and mechanistically linking the dynamics of the populations with climatic variability, we aim to gain insights into the relative importance of abiotic a biotic factors on the spatio-temporal dynamics of snowfinch populations - the results of which is a fundamental requirement in order to assess how alpine species adapated to cold climate will face new warming conditions. We believe that the project will serve as an important case study that will significantly advance the understanding of spatio-temporal dynamics of bird populations in alpine environments, a topic for which a general synthesis is very important but still lacking. Thus, we expect that our results and methods will be applicable also to other researchers. The project is therefore expected to make significant advance in the 'state of the art' of alpine habitat conservation and management in Europe, as well as to get a deeper understanding of the mechanisms underlying alpine bird responses to climate change.","Abiotic and Biotic Influences on Spatio-temporal Population Dynamics in Alpine Environmental Conditions: the snowfinches as a case study"
138,2017-03-16,"Montreal tag sensitivity","MONTREAL_TAG_SENS","To be entered by PI","To be entered by PI"
139,2017-03-20,"Barbados","BARBADOS","Barbados is one of the nearest potential landfalls for shorebirds undertaking a fall transoceanic flight over the Western Atlantic, from the eastern coast of North America to South America. Most species that follow this fall migration route usually fly out at sea and at high altitudes but will make landfall when facing adverse weather conditions. this project is aimed at documenting the species that make a landfall in Barbados, the length of their stay and if possible their region of origin. ","Two towers deployed to monitor the migration of shorebirds"
140,2017-03-23,"SCDNR Shorebirds","SCDNR","Spring migration deployments on shorebirds in coastal South Carolina, primarily Red Knots and Ruddy Turnstones",""
141,2017-03-24,"BDs_201704","BDs_201704","Essais tag Biotrack NTQB-2 ( Tag No:1 - Frequency:150.100 - Code Set: 2003 - ID Code: 3 - Burst Rate: 30) avec antenne 7 éléments 150.100 13dB longueur 3 mètres de ma fabrication et SensorGnome","Essais tag Biotrack NTQB-2 avec antenne 7 éléments 150.100 13dB de ma fabrication et SensorGnome"
142,2017-03-24,"Effects of mercury on ovenbird migration","OVEN_Hg","We are using nanotags and the Motus network to investigate for the first time the effect that mercury accumulation in songbirds may have on the speed and success of long-distance migration. Ovenbirds will be nanotagged on their nesting territories in Connecticut and assigned to a dosing group or control group. Throughout the breeding period, birds in the dosing group will be supplemental fed in the field with mealworms that have been maintained on a diet containing an environmentally relevant concentration of methylmercury-cysteine while birds in the control group will receive clean mealworms.Ovenbirds that breed in Connecticut and elsewhere east of the Appalachian Mountains migrate to the Caribbean islands for the winter. The fall migration route likely follows the Atlantic Coast, passes through the Florida peninsula, and then continues either east to the Bahamas or south to the Greater Antilles. As such,we expect that the majority of the birds will be detected when they reach the “fence” of Motus towers that currently stretches east-west across northern Florida. The dates on which birds are detected in Florida relative to the date they left their breeding grounds in Connecticut will allow us to calculate and compare the speed (flight and stopover periods combined) with which mercury-dosed and non-dosed birds moved south. The proportion of birds from each group that are detected in Florida will also indicate the influence of mercury on the likelihood of ovenbirds completing that leg of their journey.","Autumn migration speed and success of ovenbirds that are dosed with mercury throughout their breeding season in Connecticut"
143,2017-03-27,"Clapper Rail Survival in CT","CLRA_CT","Clapper rails are an obligate salt marsh species that is showing large range-wide declines, particularly in the northern part of the breeding range. This project will assess annual survival rates, migration pathways, and stopovers of northern breeding clapper rails.  The larger project is also looking at nesting success and breeding habitat changes as possible factors in population decline.","Project to assess annual survival rates and migration pathways and stopovers of northern breeding clapper rails."
145,2017-04-04,"Kirtland's Warbler Tracking, Bahamas - Michigan","KIWA_BAH_MI","We propose to study a population of endangered Kirtland’s Warblers (Setophaga kirtlandii) on their Bahamian wintering grounds to elucidate how winter habitat and precipitation interact to determine winter food availability, winter body condition, and departure date from The Bahamas. Our previous research has shown strong correlations between departure dates from the wintering grounds and arrival dates on the breeding grounds, and we know that arrival date on the breeding grounds is a key determinant of reproductive success in Kirtland’s Warblers. Thus, by determining what factors on the wintering grounds influence departure date, we can infer how winter conditions influence migration timing and reproductive success. ","Studying a population of endangered Kirtland's Warblers to determine the influence of winter conditions on migration departure date."
146,2017-04-07,"Neonicotinoid insecticides and migratory birds","NEONICS","Tracking the effects of neonicotinoid insecticides commonly used in seed treatments on migratory orientation and stopover duration in seed-eating passerines (white-crowned sparrows) at Long Point, ON.","Tracking the effects of neonicotinoid insecticides on migratory birds"
147,2017-04-10,"Southern Great Plains Snowy Plover","SNPL","In this study, we will focus on highly isolated populations on the Southern Great Plains (SGP) of Texas, Oklahoma and New Mexico, that have experienced >75% declines in the last decade. Habitat degradation due to human disturbance, vegetation encroachment, stochastic weather events and high nest predation rates are all known influences on population declines of Snowy Plovers. On the SGP, however, decreasing availability of surface water on saline lakes is an additional limiting factor to Snowy Plover nest success and survival. What remains unknown about Snowy Plovers on the SGP is the existence, level and degree of population connectivity among regional saline lakes and other breeding areas. This is important to regional conservation efforts; identifying those populations that are most isolated is the first step identifying management effort direction. We propose to address this paucity of data by utilizing uniquely-coded nanotag technology, and automated VHF receivers, in collaboration with the Motus Wildlife Tracking Network, to track and record breeding season movements and winter migration patterns of SGP Snowy Plovers during the 2017 and 2018 breeding seasons.","Monitoring population connectivity of Snowy Plovers (Charadrius nivosus nivosus) on the Southern Great Plains of Texas, New Mexico and Oklahoma"
148,2017-04-10,"Indiana","Indiana","",""
149,2017-04-11,"Belize","Belize","",""
150,2017-04-25,"Coastal Georgia Array","COAST_GEORG_ARRAY","To be entered by PI","To be entered by PI"
151,2017-05-02,"Fort Indiantown Gap Bats","INDIANTOWN_BATS","The project is a small (6 receiver stations) grid setup on the ridges and valleys of the installation out near the east and west boundaries. The intent is to track entrance and exit of multiple bat species to determine their common points of access and to determine the features they are using during migration. For example, do clutter bats pass through the area foraging in the valleys, or do they follow ridgetops for more straightline distance flights? Do bats enter and exit the valley via wind gaps? What sort of volume and frequency do we detect pass throughs? What is the seasonal timing exactly? And where are our bats coming from/going to and whose bats are we receiving?","The project is a small (6 receiver stations) grid setup on the ridges and valleys of the installation out near the east and west boundaries."
152,2017-05-02,"New York Lake Plains Motus","NY_LAKE_PLAINS","","Monitoring migratory birds and bats at important stop-over sites in the Lake Plains Region of Central New York. "
153,2017-05-03,"Tulane_SESA_NGOM","SESA_STOPOVER","","Investigating the stopover ecology of semipalmated sandpipers during spring migration along the northern Gulf of Mexico."
154,2017-05-05,"Ontario Pigeons","ON_ROPI","We will double-tag homing pigeons with GPS and nanotags to test the Motus system, in terms of the detection radius and detection probability of birds flying through the Ontario Motus array.","Test the Motus system using homing pigeons double-tagged with GPS and nanotags."
155,2017-05-09,"Johnson - SE Florida Coast","FL_East_Boca","Small antenna mounted on house using rtl-sdr radio","Small antenna mounted on house using rtl-sdr radio"
156,2017-05-11,"Black Tern movements - breeding/migration","BLTE","We will be deploying nanotags on Black Terns (n=35) nesting in Tiny Marsh (near Elmvale, ON) during the summer of 2017. Up to three new Motus towers will be set up around that location. The main objectives of this work are to: (i) establish breeding home range and (ii) determine migration timing and routes, locations of and residency at major stopover sites, and overwinter distribution. Our goals are to: (i) assess the utility of migration surveys as an approach for monitoring this species, (ii) understand the causes of decline (eastern populations), and (iii) identify potential threats or conservation issues within and outside of Canada.","Tracking movements of Black Terns during breeding, staging and southward migration"
157,2017-05-24,"Bioenergetics of WNS in western bat species","WNS_BATS","Our project will develop the science to help identify species that are susceptible to white-nose syndrome (WNS). To do so, we will use a mechanistic WNS survivorship model based on host bioenergetics, the pathogen, and environment. This research will help predict the impact of WNS in western North America where bat diversity is highest on the continent. We will then combine this model with species distribution models to explore the ecology and management of WNS disease dynamics under climate change scenarios. ","Assessing the bionergetic effects of white-nose syndrome in western bat species."
158,2017-05-30,"Eastern Ontario Grasshopper Sparrow","GRSP_E_ON","Tracking movement and migration patterns of Grasshopper Sparrows in southern Ontario","Tracking movement and migration patterns of Grasshopper Sparrows in southern Ontario"
159,2017-06-12,"Local and migration movements of Canada Warbler","CAWA","We are studying the habitat selection during breeding and fall migration routes of the Canada Warbler. Our study site is at the teaching and research forest of Simoncouche (http://www.uqac.ca/fers/), affiliated to the Université du Québec à Chicoutimi (UQAC).",""
160,2017-06-12,"Myotis movements in eastern Québec","MYOTIS_E_QC","This project aims to document the migratory movements of two Myotis species (M. lucifugus and M. septentrionalis) during fall migration. We are also looking to document the summer range of Myotis bats, including feeding and roosting habitats used during the follow-up period.","This project aims to document the migratory movements of two Myotis species (M. lucifugus and M. septentrionalis) during fall migration."
161,2017-06-12,"Migration connectivity of the Rusty Blackbird ","RUBL_CONNECTIVITY","We are deploying nanotags on Rusty Blackbirds at the Observatoire d'oiseaux de Tadoussac (http://www.explosnature.ca/oot/) in order to determine fall migration routes and migratory connectivity of the species.",""
162,2017-06-13,"Western MA Tree Swallows","TRES_W_MA","To be entered by PI","To be entered by PI"
163,2017-06-14,"Norris - MOBU Neonic 2017","MOBU_NEONIC_2017","Monarch butterflies eggs will be collected and reared in environmental chambers on milkweed treated with different concentrations of the neonicotinoid pesticide clothianidin. Upon eclosion, butterflies will be allocated to two experiments. The first will monitor monarch butterfly orientation during flight, while the second will examine the pattern of the migration route taken after release using nanotags. This experiment will help us determine the effect of agricultural practices on butterfly behaviour and contribute to the growing literature on the impact of neonicotinoids on insects.","We will be investigating the effect of a neonicotinoid pesticide on monarch butterfly orientation and migration"
164,2017-07-04,"Tracking post-breeding movements of Purple Martins","PUMA_POST_BREED","To be entered by PI","To be entered by PI"
165,2017-07-06,"Southern Michigan Motus Array","S_MI_ARRAY","","Southern Michigan receiver array for migration monitoring"
166,2017-07-12,"Ft. De Soto","FT_DE_SOTO","Ft. De Soto is an island in the mouth of Tampa Bay that is an important nesting, overwintering and migration location.  ","Expanding the Motus network along the Gulf of Mexico in Florida for shore and seabirds.  "
